periode_data,wilayah,no_registrasi,jenis_halte,kode_barang,lokasi_alamat,lintang,bujur
2024,KOTA ADM. JAKARTA PUSAT,HLT202400689,REGULER,133010118004,JL. H AGUS SALIM 58 RT 8 RW 4 GONDANGDIA KEC MENTENG KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10350 SAMPING PT ANUGERAH,-6.1834396,106.756382
2024,KOTA ADM. JAKARTA TIMUR,HLT202400690,REGULER,133010118004,PINTU 1 TMII RW 3 PINANG RANTI KEC MAKASAR KOTA KOTA ADM. JAKARTA TIMUR DAERAH KHUSUS IBUKOTA JAKARTA 13560 HALTE BAWAH KECAMATAN,-6.1700018,106.8172026
2024,KOTA ADM. JAKARTA PUSAT,HLT202400691,REGULER,133010118004,JL. H AGUS SALIM 12 RT 11 RW 2 GAMBIR KECAMATAN GAMBIR KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10110 SEBRANG WISMA ANTARA,-6.1101373,106.8924173
2024,KOTA ADM. JAKARTA UTARA,HLT202400692,TRANSJAKARTA,133010118004,JL. YOS SUDARSO RT 6 RW 13 RAWABADAK UTARA KEC KOJA KOTA JKT UTARA DAERAH KHUSUS IBUKOTA JAKARTA 14320 HALTE BUSWAY WALIKOTA KOTA ADM. JAKARTA UTARA,-6.1767568,106.876161
2024,KOTA ADM. JAKARTA BARAT,HLT202400693,REGULER,133010118004,JL. SULTAN ISKANDAR MUDA 24 5 RT 6 RW 9 KBY LAMA SEL KEC KBY LAMA KOTA KOTA ADM. JAKARTA SELATAN DAERAH KHUSUS IBUKOTA JAKARTA 12240 DEPAN NISSAN,-6.187595,106.8252783
2024,KOTA ADM. JAKARTA PUSAT,HLT202400694,REGULER,133010135001,JL. RAYA JAKARTA BOGOR RT 1 RW 3 PEKAYON KEC PS REBO KOTA KOTA ADM. JAKARTA TIMUR DAERAH KHUSUS IBUKOTA JAKARTA 13710 SEBRANG PURWOAJI MOTOR,-6.2019556,106.8855207
2024,KOTA ADM. JAKARTA PUSAT,HLT202400695,REGULER,133010135001,JL. LAPANGAN BANTENG UTARA PS BARU KECAMATAN SAWAH BESAR KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA SEBRANG KANTOR POS,-6.2891824,106.7734147
2024,KOTA ADM. JAKARTA UTARA,HLT202400696,REGULER,133010135001,JL. BUKIT DURI UTARA 247 RT 2 RW 12 BUKIT DURI KEC TEBET KOTA KOTA ADM. JAKARTA SELATAN DAERAH KHUSUS IBUKOTA JAKARTA 12840 DEPAN SMA 8,-6.2144774,106.8871123
2024,KOTA ADM. JAKARTA SELATAN,HLT202400697,REGULER,133010135001,JL. RP SOEROSO 10 RT 9 RW 5 CIKINI KEC MENTENG KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10330 HALTE PARMASI,-6.2822235,106.7720304
2024,KOTA ADM. JAKARTA BARAT,HLT202400698,REGULER,133010135001,JL. GATOT SUBROTO RT 5 RW 3 SENAYAN KEC KBY BARU KOTA KOTA ADM. JAKARTA SELATAN DAERAH KHUSUS IBUKOTA JAKARTA 12190 DEPAN PLODA METRO JAYA,-6.1830032,106.9229201
2024,KOTA ADM. JAKARTA SELATAN,HLT202400699,REGULER,133010135001,PD KLP KEC DUREN SAWIT KOTA KOTA ADM. JAKARTA TIMUR DAERAH KHUSUS IBUKOTA JAKARTA HALTE H NAMAN,-6.2672601,106.7837265
2024,KOTA ADM. JAKARTA TIMUR,HLT202400700,REGULER,133010118004,JL. PATRA KOTA ADM. JAKARTA BARAT RT 3 RW 2 DURI KEPA KEC KB JERUK KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11510 DEPAN SEKOLAH KATHOLIK ABDI,-6.1605089,106.8146496
2024,KOTA ADM. JAKARTA BARAT,HLT202400701,REGULER,133010118004,JL. HR RASUNA SAID KOTA ADM. JAKARTA SELATAN RT 2 RW 5 KARET KUNINGAN KECAMATAN SETIABUDI KOTA KOTA ADM. JAKARTA SELATAN DAERAH KHUSUS IBUKOTA JAKARTA 12940 DEPAN GAMA TOWER,-6.2571531,106.7818225
2024,KOTA ADM. JAKARTA TIMUR,HLT202400702,REGULER,133010118004,JL. SENOPATI 49 RT 7 RW 3 SELONG KEC KBY BARU KOTA KOTA ADM. JAKARTA SELATAN DAERAH KHUSUS IBUKOTA JAKARTA 12110 HALTE SEKOLAH SD 01,-6.2141383,106.9102633
2024,KOTA ADM. JAKARTA SELATAN,HLT202400703,REGULER,133010118004,JL. DURI KEPA RAYA 9 73 RT 1 RW 2 DURI KEPA KEC KB JERUK KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11510 SDN DURI KEPA 11,-6.2386671,106.7830855
2024,KOTA ADM. JAKARTA SELATAN,HLT202400704,REGULER,133010118004,JL. PANJANG 2 RT 19 RW 4 KEDOYA SEL KEC KB JERUK KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11520 DEPAN KEDOYA ELOK PLAZA,-6.2205269,106.8682018
2024,KOTA ADM. JAKARTA UTARA,HLT202400705,REGULER,133010118004,JL. PEGANGSAAN DUA 1 2 RT 5 RW 3 PEGANGSAAN DUA KEC KLP GADING KOTA JKT UTARA DAERAH KHUSUS IBUKOTA JAKARTA 14250 DEPAN ISUZU,-6.1610091,106.7902761
2024,KOTA ADM. JAKARTA SELATAN,HLT202400706,TRANSJAKARTA,133010135001,12230 JL. SULTAN ISKANDAR MUDA KBY LAMA UTARA KEC KBY LAMA KOTA KOTA ADM. JAKARTA SELATAN DAERAH KHUSUS IBUKOTA JAKARTA 12240 HALTE BUSWAY PASAR KEBAYORAN LAMA,-6.1513071,106.886907
2024,KOTA ADM. JAKARTA SELATAN,HLT202400707,REGULER,133010135001,JL. PANJANG 200 23 RW 1 KEDOYA SEL KEC KB JERUK KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11520 HALTE TOYOTORIS,-6.1520742,106.7949264
2024,KOTA ADM. JAKARTA SELATAN,HLT202400708,TRANSJAKARTA,133010118004,JL. TEUKU NYAK ARIEF RW RT 5 RW 2 GROGOL SEL KEC KBY LAMA KOTA KOTA ADM. JAKARTA SELATAN DAERAH KHUSUS IBUKOTA JAKARTA 12220 HALTE BUSWAY SIMPRUG,-6.2429234,106.876333
2024,KOTA ADM. JAKARTA SELATAN,HLT202400709,REGULER,133010118004,PD KLP KEC DUREN SAWIT KOTA KOTA ADM. JAKARTA TIMUR DAERAH KHUSUS IBUKOTA JAKARTA HALTE H NAMAN 2,-6.143119,106.7935822
2024,KOTA ADM. JAKARTA PUSAT,HLT202400562,REGULER,133010118004,JL. PENJERNIHAN 1 KARET TENGSIN KECAMATAN TANAH ABANG KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10250 DEPAN RUMAH BERSAMA CILIWUNG,-6.232052,106.8673862
2024,KOTA ADM. JAKARTA BARAT,HLT202400563,REGULER,133010118004,4 JL. OUTER RING ROAD BARAT KAYU BESAR U S DPN SDN 021 P,-6.133305,106.7928633
2024,KOTA ADM. JAKARTA PUSAT,HLT202400564,REGULER,133010118004,JL. ABDUL MUIS RT 03 03 NO68 RT 2 RW 3 GAMBIR KECAMATAN GAMBIR KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10160 SAMPING UNIVERSITAS BRAWIJAYA,-6.2350398,106.8679905
2024,KOTA ADM. JAKARTA BARAT,HLT202400565,REGULER,133010118004,1 JL. OUTER RING ROAD BARAT KAMAL RY CENGKARENG U S DEPAN,-6.115686,106.7910331
2024,KOTA ADM. JAKARTA PUSAT,HLT202400566,REGULER,133010135001,JL. ABDUL MUIS 10 2 RT 11 RW 8 PETOJO SEL KECAMATAN GAMBIR KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10160 DEPAN BRI,-6.2265933,106.8670932
2024,KOTA ADM. JAKARTA UTARA,HLT202400567,REGULER,133010118004,2 JL. PETA SELATAN U S DEPAN SMK JAKARTA 1,-6.109465,106.8822867
2024,KOTA ADM. JAKARTA PUSAT,HLT202400568,REGULER,133010118004,JL. ABDUL MUIS RT 11 RW 3 GAMBIR KECAMATAN GAMBIR KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10160 HALTE PERMORIN,-6.1262928,106.7917118
2024,KOTA ADM. JAKARTA BARAT,HLT202400569,REGULER,133010118004,3 JL. OUTER RING ROAD BARAT RAWA BUAYA S U DPN TERMINAL,-6.2376767,106.8686315
2024,KOTA ADM. JAKARTA BARAT,HLT202400570,REGULER,133010118004,JL. GAJAH MADA BARAT JAKARTA KEAGUNGAN TAMAN SARI BARAT JAKARTA CITY JAKARTA HALTE SMA 2 II,-6.2429461,106.8635098
2024,KOTA ADM. JAKARTA BARAT,HLT202400571,REGULER,133010118004,4 JL. CENDRAWASIH RAYA S U DEPAN GELANGANG REMAJA CENDRAW,-6.2391173,106.8779006
2024,KOTA ADM. JAKARTA PUSAT,HLT202400572,REGULER,133010118004,JL. CUT MUTIA 10 2 RT 4 RW 9 KEC MENTENG KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10330 HALTE BRI,-6.2429502,106.8583233
2024,KOTA ADM. JAKARTA SELATAN,HLT202400573,REGULER,133010118004,JL. TB SIMATUPANG GEDONG KEC PS REBO KOTA KOTA ADM. JAKARTA TIMUR DAERAH KHUSUS IBUKOTA JAKARTA 13760 SEBRANG SUPERINDO,-6.2145825,106.8097182
2024,KOTA ADM. JAKARTA PUSAT,HLT202400358,REGULER,133010135001,JL. RAYA JAKARTA BOGOR RT 3 RW 7 KP TENGAH KEC KRAMAT JATI KOTA KOTA ADM. JAKARTA TIMUR DAERAH KHUSUS IBUKOTA JAKARTA 13540 SEBRANG MEGA KERAMIK,-6.1880153,106.9602969
2024,KOTA ADM. JAKARTA UTARA,HLT202400359,REGULER,133010135001,JL. R E MARTADINATA DEPAN ANCOL,-6.189295,106.96527
2024,KOTA ADM. JAKARTA SELATAN,HLT202400360,REGULER,133010118004,JL. PANJANG ARTERI KLP DUA RAYA RT 6 RW 2 KB JERUK KEC KB JERUK KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11530 HALTE SMA 65,-6.2858481,106.8262538
2024,KOTA ADM. JAKARTA BARAT,HLT202400361,REGULER,133010118004,JL. RAYA KB JERUK 1 RT 4 RW 2 KB JERUK KEC KB JERUK KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11530 HALTE DEPAN SMP 229,-6.1928189,106.9051853
2024,KOTA ADM. JAKARTA SELATAN,HLT202400362,REGULER,133010118004,JL. DAAN MOGOT RT 7 RW 2 KALIDERES KEC KALIDERES KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA DEKAT POLSEK KALIDERES,-6.1234019,106.9168534
2024,KOTA ADM. JAKARTA BARAT,HLT202400363,REGULER,133010118004,JL. RAYA KB JERUK 126 8 RT 3 RW 9 KB JERUK KEC KB JERUK KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11530 HALTE DEPAN PAUD AR RAHMAH,-6.1996507,106.7823951
2024,KOTA ADM. JAKARTA BARAT,HLT202400364,REGULER,133010118004,JL. PANJANG KB JERUK KEC KB JERUK KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA DEPAN CEVROLET,-6.2742413,106.8304329
2024,KOTA ADM. JAKARTA SELATAN,HLT202400365,REGULER,133010118004,JL. KYAI H ZAINUL ARIFIN RW 14 TANAH SEREAL KEC TAMBORA KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11210 DEPAN FUJI XEROX,-6.176965,106.8410372
2024,KOTA ADM. JAKARTA SELATAN,HLT202400366,REGULER,133010118004,JL. DAAN MOGOT 29 66 RT 1 RW 3 KALIDERES KEC KALIDERES KOTA KOTA ADM. JAKARTA BARAT DAERAH KHUSUS IBUKOTA JAKARTA 11840 SEBRANG WARTEG SEDERHANA,-6.2578037,106.8700964
2024,KOTA ADM. JAKARTA UTARA,HLT202400367,REGULER,133010118004,JL. R E MARTADINATA RT 6 RW 6 SUNTER AGUNG TJ PRIOK KOTA JKT UTARA DAERAH KHUSUS IBUKOTA JAKARTA 14350 SAMPING JL. SUNTER PERMAI RAYA,-6.1929379,106.880185
2024,KOTA ADM. JAKARTA UTARA,HLT202400368,REGULER,133010135001,JL. R E MARTADINATA RW 10 PADEMANGAN BAR KEC PADEMANGAN KOTA JKT UTARA DAERAH KHUSUS IBUKOTA JAKARTA 14420 HALTE POLSEK,-6.2088412,106.8472462
